fold,accuracy,precision,recall,f1,auc,ap
1,0.9163346613545816,0.9282786885245902,0.9023904382470119,0.9151515151515152,0.979599530166188,0.9804828524515872
2,0.9322709163346613,0.9254901960784314,0.9402390438247012,0.932806324110672,0.9814566435453407,0.9824319897741085
3,0.9312063808574277,0.9518828451882845,0.908183632734531,0.9295199182839632,0.9824733004111298,0.9846847258718603
4,0.9232303090727817,0.9092664092664092,0.9401197604790419,0.9244357212953876,0.9717477395805997,0.971103863847868
5,0.9391824526420738,0.9313725490196079,0.9481037924151696,0.9396636993076162,0.9854454437738068,0.9855700635162903
6,0.9272183449651047,0.9458333333333333,0.906187624750499,0.9255861365953109,0.981793385340872,0.981787827852857
7,0.9282153539381854,0.915057915057915,0.9442231075697212,0.9294117647058824,0.9726403766172833,0.9693905943455484
8,0.9242273180458624,0.9474789915966386,0.898406374501992,0.9222903885480572,0.9796343567844391,0.9807721102440428
9,0.909272183449651,0.9290187891440501,0.8864541832669323,0.9072375127420998,0.9727417674610938,0.9738999183289152
10,0.9411764705882353,0.9567010309278351,0.9243027888446215,0.9402228976697061,0.983785417213382,0.9855417473507556
